kilometrage;price;release_date;tel_fixe;tel_port;type_vendeur;version;cote argus;comparaison argus
9890;10400;2014;;0649173452;professionnel;zen;10323;+
55000;9490;2014;;0675008314;professionnel;zen;8959;+
48957;9290;2015;;;professionnel;zen;10078;-
3000;13300;2016;;;professionnel;zen;12179;+
20300;11995;2016;;0776345915;professionnel;zen;11446;+
4619;11990;2016;;;professionnel;zen;12167;-
24088;8690;2014;;;professionnel;zen;9961;-
34301;8490;2014;;;professionnel;zen;9383;-
10690;8990;2014;;;professionnel;zen;10316;-
7701;10500;2016;;;professionnel;zen;12117;-
6791;9490;2015;;;professionnel;zen;11211;-
5145;12989;2016;;;professionnel;zen;12161;+
10;12990;2016;;;professionnel;zen;12189;+
3000;13500;2016;;;professionnel;zen;12179;+
17611;9500;2015;;;professionnel;zen;10925;-
17500;9450;2015;;;professionnel;zen;10931;-
42351;7950;2014;;;professionnel;zen;9089;-
49000;8000;2013;;;particulier;zen;8209;-
46300;8200;2013;;0610583214;particulier;zen;8302;-
27545;9990;2014;;0612045861;professionnel;zen;9773;+
35858;10100;2014;;;professionnel;zen;9307;+
38077;9500;2013;;;professionnel;zen;8694;+
6600;10990;2015;;;professionnel;zen;11212;-
15143;8990;2014;;;professionnel;zen;10255;-
9094;8990;2014;;;professionnel;zen;10329;-
17527;9990;2015;;;professionnel;zen;10929;-
21145;9990;2016;;;professionnel;zen;11425;-
10132;12000;2015;;0649173452;professionnel;zen;11171;+
37441;9490;2014;;;professionnel;zen;9240;+
16370;10450;2015;;;professionnel;zen;10986;-
42836;10590;2014;;;professionnel;zen;9079;+
13906;9390;2014;;;professionnel;zen;10276;-
14351;10490;2015;;;professionnel;zen;11068;-
24890;8880;2014;;;professionnel;zen;9920;-
9446;9490;2016;;;professionnel;zen;12062;-
4500;12900;2016;;0687808813;professionnel;zen;12168;+
18768;9990;2015;;0608548996;professionnel;zen;10860;-
37413;9800;2014;;0618402010;professionnel;zen;9241;+
60990;8900;2013;;0664589849;professionnel;zen;7997;+
25333;9490;2014;;;professionnel;zen;9897;-
820;10700;2015;;0675324710;professionnel;zen;11238;-
7911;10990;2016;;;professionnel;zen;12112;-
8184;11790;2016;;;professionnel;zen;12104;-
5500;11999;2016;;0621494561;professionnel;zen;12157;-
17558;11700;2015;;;professionnel;zen;10928;+
11480;11700;2015;;0618402010;professionnel;zen;11146;+
23286;9290;2014;;;professionnel;zen;9999;-
14538;10590;2015;;;professionnel;zen;11061;-
27158;9490;2014;;;professionnel;zen;9795;-
51657;8900;2014;;0682177533;professionnel;zen;8974;-
41535;7500;2013;;;professionnel;zen;8513;-
57314;7900;2013;;;professionnel;zen;8035;-
47822;8990;2014;;;professionnel;zen;9003;-
7868;11700;2015;;;professionnel;zen;11201;+
8800;10900;2016;;;particulier;zen;12085;-
76000;7500;2013;;;particulier;zen;7940;-
41642;9990;2015;;;professionnel;zen;10089;-
36556;8990;2014;;;professionnel;zen;9276;-
31456;9590;2014;;;professionnel;zen;9540;+
41370;8290;2013;;;professionnel;zen;8521;-
16468;10490;2015;;;professionnel;zen;10982;-
14546;11700;2015;;0618402010;professionnel;zen;11061;+
14000;9690;2014;;0610145384;professionnel;zen;10275;-
13731;12790;2016;;;professionnel;zen;11811;+
13976;8990;2013;;0608548996;professionnel;zen;9496;-
30000;10000;2015;;0621612350;professionnel;zen;10237;-
28600;9900;2014;;0687808813;professionnel;zen;9710;+
9222;11490;2014;;;professionnel;zen;10328;+
16133;11590;2015;;;professionnel;zen;10997;+
36812;9990;2013;;;professionnel;zen;8762;+
8109;11990;2015;;;professionnel;zen;11198;+
